cod;nome;período;valor
53;DF;1996;0
28;SE;1996;0
32;ES;1996;0
33;RJ;1996;0
22;PI;1996;0
11;RO;1996;0
50;MS;1996;0
52;GO;1996;0
13;AM;1996;0
12;AC;1996;0
26;PE;1996;0
23;CE;1996;0
25;PB;1996;0
35;SP;1996;335
21;MA;1996;0
29;BA;1996;0
15;PA;1996;0
31;MG;1996;0
24;RN;1996;0
17;TO;1996;0
27;AL;1996;0
41;PR;1996;0
42;SC;1996;0
43;RS;1996;0
51;MT;1996;0
14;RR;1996;0
16;AP;1996;0
21;MA;1997;170
14;RR;1997;13
26;PE;1997;586
43;RS;1997;232
22;PI;1997;76
50;MS;1997;1
32;ES;1997;262
42;SC;1997;10
17;TO;1997;29
25;PB;1997;67
53;DF;1997;388
16;AP;1997;73
23;CE;1997;278
33;RJ;1997;3940
51;MT;1997;212
13;AM;1997;353
12;AC;1997;3
11;RO;1997;47
29;BA;1997;120
35;SP;1997;2055
24;RN;1997;118
27;AL;1997;124
41;PR;1997;66
15;PA;1997;237
28;SE;1997;47
31;MG;1997;519
52;GO;1997;121
28;SE;1998;79
23;CE;1998;305
17;TO;1998;53
14;RR;1998;91
29;BA;1998;248
15;PA;1998;472
32;ES;1998;328
53;DF;1998;415
16;AP;1998;134
33;RJ;1998;3631
13;AM;1998;404
27;AL;1998;216
35;SP;1998;5434
24;RN;1998;119
41;PR;1998;232
22;PI;1998;78
52;GO;1998;180
12;AC;1998;21
31;MG;1998;700
26;PE;1998;1106
43;RS;1998;231
11;RO;1998;105
50;MS;1998;8
21;MA;1998;177
42;SC;1998;34
25;PB;1998;82
51;MT;1998;364
33;RJ;1999;3726
29;BA;1999;305
15;PA;1999;462
53;DF;1999;440
52;GO;1999;245
12;AC;1999;15
51;MT;1999;387
23;CE;1999;518
17;TO;1999;60
25;PB;1999;111
42;SC;1999;44
50;MS;1999;124
11;RO;1999;153
43;RS;1999;249
26;PE;1999;2186
41;PR;1999;262
22;PI;1999;85
16;AP;1999;163
24;RN;1999;122
21;MA;1999;135
35;SP;1999;6182
27;AL;1999;338
13;AM;1999;422
32;ES;1999;554
14;RR;1999;82
28;SE;1999;101
31;MG;1999;732
43;RS;2000;250
25;PB;2000;351
15;PA;2000;603
50;MS;2000;273
42;SC;2000;47
29;BA;2000;802
21;MA;2000;230
14;RR;2000;89
13;AM;2000;454
41;PR;2000;331
12;AC;2000;44
51;MT;2000;561
26;PE;2000;3003
33;RJ;2000;4003
24;RN;2000;161
35;SP;2000;6029
53;DF;2000;533
11;RO;2000;230
16;AP;2000;124
23;CE;2000;656
27;AL;2000;487
22;PI;2000;138
31;MG;2000;1126
52;GO;2000;472
28;SE;2000;171
32;ES;2000;624
17;TO;2000;103
23;CE;2001;638
17;TO;2001;126
41;PR;2001;333
29;BA;2001;1130
52;GO;2001;606
21;MA;2001;403
28;SE;2001;256
11;RO;2001;275
53;DF;2001;549
