cod;nome;período;valor
53;DF;1996;0
52;GO;1996;0
17;TO;1996;0
32;ES;1996;0
24;RN;1996;0
42;SC;1996;0
15;PA;1996;0
50;MS;1996;0
43;RS;1996;0
23;CE;1996;0
35;SP;1996;24
28;SE;1996;0
21;MA;1996;0
16;AP;1996;0
27;AL;1996;0
11;RO;1996;0
51;MT;1996;0
29;BA;1996;0
31;MG;1996;0
14;RR;1996;0
25;PB;1996;0
33;RJ;1996;0
13;AM;1996;0
22;PI;1996;0
26;PE;1996;0
41;PR;1996;0
12;AC;1996;0
32;ES;1997;20
51;MT;1997;23
31;MG;1997;60
15;PA;1997;23
12;AC;1997;3
21;MA;1997;18
14;RR;1997;2
13;AM;1997;25
16;AP;1997;7
53;DF;1997;31
22;PI;1997;8
50;MS;1997;0
23;CE;1997;20
28;SE;1997;3
11;RO;1997;4
43;RS;1997;23
42;SC;1997;1
24;RN;1997;10
52;GO;1997;16
41;PR;1997;4
25;PB;1997;8
29;BA;1997;11
17;TO;1997;4
35;SP;1997;151
26;PE;1997;37
33;RJ;1997;294
27;AL;1997;8
26;PE;1998;65
12;AC;1998;1
41;PR;1998;22
33;RJ;1998;255
53;DF;1998;37
13;AM;1998;45
27;AL;1998;18
25;PB;1998;5
35;SP;1998;351
21;MA;1998;18
17;TO;1998;12
29;BA;1998;24
32;ES;1998;32
31;MG;1998;92
28;SE;1998;5
23;CE;1998;11
14;RR;1998;9
15;PA;1998;45
43;RS;1998;30
42;SC;1998;2
51;MT;1998;46
50;MS;1998;2
22;PI;1998;12
11;RO;1998;7
24;RN;1998;7
16;AP;1998;9
52;GO;1998;12
51;MT;1999;34
16;AP;1999;16
53;DF;1999;40
12;AC;1999;2
28;SE;1999;12
52;GO;1999;28
29;BA;1999;41
31;MG;1999;110
11;RO;1999;15
27;AL;1999;30
32;ES;1999;45
33;RJ;1999;265
26;PE;1999;143
35;SP;1999;412
25;PB;1999;7
41;PR;1999;30
24;RN;1999;13
42;SC;1999;1
23;CE;1999;34
43;RS;1999;21
50;MS;1999;13
22;PI;1999;6
13;AM;1999;45
21;MA;1999;14
14;RR;1999;6
15;PA;1999;31
17;TO;1999;9
11;RO;2000;22
33;RJ;2000;265
27;AL;2000;46
13;AM;2000;28
31;MG;2000;125
28;SE;2000;15
32;ES;2000;49
50;MS;2000;30
15;PA;2000;55
22;PI;2000;8
26;PE;2000;202
23;CE;2000;51
24;RN;2000;10
17;TO;2000;10
52;GO;2000;53
21;MA;2000;24
14;RR;2000;12
25;PB;2000;32
41;PR;2000;22
