cod;nome;período;valor
53;DF;1996;0
23;CE;1996;0
35;SP;1996;359
15;PA;1996;0
22;PI;1996;0
25;PB;1996;0
51;MT;1996;0
12;AC;1996;0
52;GO;1996;0
24;RN;1996;0
11;RO;1996;0
32;ES;1996;0
33;RJ;1996;0
14;RR;1996;0
16;AP;1996;0
13;AM;1996;0
29;BA;1996;0
31;MG;1996;0
41;PR;1996;0
50;MS;1996;0
21;MA;1996;0
26;PE;1996;0
42;SC;1996;0
27;AL;1996;0
43;RS;1996;0
28;SE;1996;0
17;TO;1996;0
25;PB;1997;75
29;BA;1997;131
50;MS;1997;1
17;TO;1997;33
27;AL;1997;132
28;SE;1997;50
13;AM;1997;380
24;RN;1997;128
35;SP;1997;2206
15;PA;1997;260
42;SC;1997;11
41;PR;1997;70
53;DF;1997;419
51;MT;1997;235
22;PI;1997;84
52;GO;1997;137
12;AC;1997;6
14;RR;1997;15
32;ES;1997;283
11;RO;1997;51
16;AP;1997;80
31;MG;1997;579
21;MA;1997;189
26;PE;1997;624
23;CE;1997;298
43;RS;1997;255
33;RJ;1997;4238
13;AM;1998;449
41;PR;1998;254
35;SP;1998;5785
51;MT;1998;411
50;MS;1998;10
24;RN;1998;126
53;DF;1998;452
22;PI;1998;90
12;AC;1998;22
25;PB;1998;87
21;MA;1998;196
52;GO;1998;193
26;PE;1998;1171
11;RO;1998;112
27;AL;1998;234
17;TO;1998;65
23;CE;1998;316
43;RS;1998;261
28;SE;1998;84
29;BA;1998;273
16;AP;1998;143
31;MG;1998;792
32;ES;1998;360
42;SC;1998;36
15;PA;1998;517
33;RJ;1998;3891
14;RR;1998;100
21;MA;1999;149
35;SP;1999;6594
28;SE;1999;114
33;RJ;1999;3994
29;BA;1999;346
16;AP;1999;179
52;GO;1999;274
11;RO;1999;168
31;MG;1999;842
25;PB;1999;118
12;AC;1999;17
14;RR;1999;88
32;ES;1999;599
22;PI;1999;91
42;SC;1999;45
53;DF;1999;480
15;PA;1999;494
24;RN;1999;135
41;PR;1999;292
13;AM;1999;467
50;MS;1999;137
17;TO;1999;69
27;AL;1999;368
26;PE;1999;2329
23;CE;1999;552
43;RS;1999;270
51;MT;1999;421
41;PR;2000;353
52;GO;2000;526
11;RO;2000;252
53;DF;2000;565
28;SE;2000;186
23;CE;2000;708
32;ES;2000;673
15;PA;2000;658
29;BA;2000;892
16;AP;2000;128
43;RS;2000;272
33;RJ;2000;4271
35;SP;2000;6407
24;RN;2000;171
21;MA;2000;254
14;RR;2000;101
27;AL;2000;533
31;MG;2000;1251
25;PB;2000;383
22;PI;2000;147
12;AC;2000;51
50;MS;2000;303
17;TO;2000;113
13;AM;2000;482
26;PE;2000;3205
42;SC;2000;56
51;MT;2000;608
26;PE;2001;3647
50;MS;2001;308
53;DF;2001;583
52;GO;2001;667
12;AC;2001;70
43;RS;2001;317
28;SE;2001;271
42;SC;2001;68
13;AM;2001;416
41;PR;2001;358
11;RO;2001;310
35;SP;2001;6475
14;RR;2001;82
33;RJ;2001;4309
15;PA;2001;799
32;ES;2001;738
31;MG;2001;1423
16;AP;2001;164
29;BA;2001;1211
27;AL;2001;589
17;TO;2001;140
21;MA;2001;439
25;PB;2001;329
24;RN;2001;221
22;PI;2001;179
51;MT;2001;629
23;CE;2001;696
50;MS;2002;333
42;SC;2002;84
22;PI;2002;232
32;ES;2002;813
12;AC;2002;100
17;TO;2002;126
41;PR;2002;413
14;RR;2002;92
16;AP;2002;157
21;MA;2002;493
13;AM;2002;442
11;RO;2002;376
27;AL;2002;655
28;SE;2002;384
23;CE;2002;705
43;RS;2002;322
15;PA;2002;1036
35;SP;2002;6006
29;BA;2002;1298
24;RN;2002;213
52;GO;2002;734
53;DF;2002;539
25;PB;2002;432
51;MT;2002;602
26;PE;2002;3574
31;MG;2002;1927
33;RJ;2002;4923
21;MA;2003;657
41;PR;2003;412
29;BA;2003;1665
53;DF;2003;623
31;MG;2003;2539
16;AP;2003;171
35;SP;2003;5839
25;PB;2003;484
52;GO;2003;784
33;RJ;2003;4948
17;TO;2003;161
13;AM;2003;495
51;MT;2003;597
14;RR;2003;80
12;AC;2003;98
27;AL;2003;630
50;MS;2003;382
11;RO;2003;375
23;CE;2003;748
32;ES;2003;883
42;SC;2003;101
15;PA;2003;1237
24;RN;2003;277
43;RS;2003;354
28;SE;2003;278
22;PI;2003;241
26;PE;2003;3562
13;AM;2004;440
50;MS;2004;372
43;RS;2004;384
17;TO;2004;149
22;PI;2004;251
42;SC;2004;99
12;AC;2004;80
31;MG;2004;2916
15;PA;2004;1351
33;RJ;2004;4787
24;RN;2004;246
53;DF;2004;582
35;SP;2004;4720
41;PR;2004;537
26;PE;2004;3430
21;MA;2004;631
29;BA;2004;1859
28;SE;2004;270
11;RO;2004;372
23;CE;2004;699
52;GO;2004;896
51;MT;2004;572
27;AL;2004;708
14;RR;2004;66
25;PB;2004;540
32;ES;2004;928
16;AP;2004;160
12;AC;2005;87
25;PB;2005;608
52;GO;2005;1003
13;AM;2005;506
33;RJ;2005;4658
35;SP;2005;3734
51;MT;2005;631
23;CE;2005;760
32;ES;2005;1014
42;SC;2005;94
15;PA;2005;1726
22;PI;2005;295
31;MG;2005;2870
50;MS;2005;347
28;SE;2005;345
16;AP;2005;172
41;PR;2005;639
11;RO;2005;391
53;DF;2005;551
29;BA;2005;2380
43;RS;2005;407
24;RN;2005;275
27;AL;2005;812
14;RR;2005;73
17;TO;2005;148
21;MA;2005;774
26;PE;2005;3517
43;RS;2006;381
11;RO;2006;418
26;PE;2006;3893
24;RN;2006;318
42;SC;2006;93
32;ES;2006;1111
13;AM;2006;584
35;SP;2006;3364
27;AL;2006;1078
41;PR;2006;522
25;PB;2006;697
17;TO;2006;189
52;GO;2006;1076
14;RR;2006;67
21;MA;2006;811
12;AC;2006;102
16;AP;2006;186
22;PI;2006;357
15;PA;2006;1867
33;RJ;2006;4611
51;MT;2006;647
50;MS;2006;366
28;SE;2006;406
23;CE;2006;972
31;MG;2006;2759
29;BA;2006;2821
53;DF;2006;576
14;RR;2007;85
53;DF;2007;591
31;MG;2007;2776
42;SC;2007;94
22;PI;2007;310
23;CE;2007;1367
15;PA;2007;1953
26;PE;2007;4032
24;RN;2007;424
27;AL;2007;1247
32;ES;2007;1197
51;MT;2007;615
50;MS;2007;369
43;RS;2007;440
13;AM;2007;648
11;RO;2007;305
21;MA;2007;962
35;SP;2007;2602
12;AC;2007;91
25;PB;2007;759
41;PR;2007;617
17;TO;2007;191
16;AP;2007;140
52;GO;2007;1052
33;RJ;2007;4169
28;SE;2007;371
29;BA;2007;3116
15;PA;2008;2585
33;RJ;2008;3593
41;PR;2008;695
14;RR;2008;74
32;ES;2008;1252
31;MG;2008;2628
42;SC;2008;108
28;SE;2008;404
16;AP;2008;196
29;BA;2008;4137
27;AL;2008;1536
43;RS;2008;471
12;AC;2008;74
50;MS;2008;361
17;TO;2008;194
26;PE;2008;3888
52;GO;2008;1309
25;PB;2008;928
21;MA;2008;1097
11;RO;2008;319
24;RN;2008;558
53;DF;2008;701
22;PI;2008;299
23;CE;2008;1377
51;MT;2008;687
13;AM;2008;767
35;SP;2008;2464
24;RN;2009;612
52;GO;2009;1446
17;TO;2009;231
12;AC;2009;103
35;SP;2009;2618
21;MA;2009;1210
11;RO;2009;373
43;RS;2009;445
14;RR;2009;78
27;AL;2009;1595
16;AP;2009;168
29;BA;2009;4741
42;SC;2009;115
31;MG;2009;2507
41;PR;2009;677
22;PI;2009;318
53;DF;2009;753
23;CE;2009;1360
33;RJ;2009;3430
15;PA;2009;2711
28;SE;2009;475
32;ES;2009;1367
51;MT;2009;738
13;AM;2009;846
25;PB;2009;1153
50;MS;2009;399
26;PE;2009;3460
15;PA;2010;3198
28;SE;2010;569
52;GO;2010;1533
13;AM;2010;980
14;RR;2010;102
11;RO;2010;388
22;PI;2010;327
29;BA;2010;5145
51;MT;2010;722
26;PE;2010;3000
33;RJ;2010;3684
21;MA;2010;1341
31;MG;2010;2515
23;CE;2010;1711
42;SC;2010;129
43;RS;2010;436
12;AC;2010;96
53;DF;2010;680
25;PB;2010;1325
24;RN;2010;633
50;MS;2010;374
17;TO;2010;280
35;SP;2010;2442
27;AL;2010;1696
41;PR;2010;670
32;ES;2010;1299
16;AP;2010;205
26;PE;2011;3013
50;MS;2011;416
22;PI;2011;355
17;TO;2011;288
29;BA;2011;4780
42;SC;2011;128
13;AM;2011;1131
31;MG;2011;2906
15;PA;2011;2787
14;RR;2011;74
35;SP;2011;2473
23;CE;2011;1647
25;PB;2011;1441
53;DF;2011;784
32;ES;2011;1209
52;GO;2011;1721
11;RO;2011;321
33;RJ;2011;3161
51;MT;2011;740
21;MA;2011;1364
28;SE;2011;671
43;RS;2011;448
24;RN;2011;813
12;AC;2011;99
41;PR;2011;654
27;AL;2011;2013
16;AP;2011;179
27;AL;2012;1905
53;DF;2012;849
52;GO;2012;2134
51;MT;2012;794
42;SC;2012;174
41;PR;2012;758
35;SP;2012;2885
33;RJ;2012;3228
32;ES;2012;1342
31;MG;2012;3200
29;BA;2012;5358
26;PE;2012;2991
25;PB;2012;1295
24;RN;2012;861
23;CE;2012;1921
50;MS;2012;447
43;RS;2012;514
22;PI;2012;453
21;MA;2012;1555
17;TO;2012;306
16;AP;2012;215
15;PA;2012;2942
14;RR;2012;100
13;AM;2012;1183
