posicao,nome,pib_mil_reais,variacao,participacao_percentual
1,SP,3130333000,Aumento,31.1
2,RJ,1153512000,Aumento,11.4
3,MG,906731000,Baixa,9.0
4,PR,614611000,Estável,6.1
5,RS,593634000,Baixa,5.9
6,SC,466274000,Baixa,4.6
7,BA,402647000,Aumento,4.0
8,DF,328790000,Aumento,3.3
9,GO,318586000,Aumento,3.2
10,MT,255527000,Baixa,2.5
11,PE,245828000,Baixa,2.4
12,PA,236142000,Baixa,2.3
13,CE,213601000,Baixa,2.1
14,ES,182549000,Baixa,1.8
15,MS,166407000,Aumento,1.7
16,AM,145140000,Baixa,1.4
17,MA,139789000,Estável,1.4
18,RN,93819000,Estável,0.9
19,PB,86094000,Estável,0.9
20,AL,76066000,Estável,0.8
21,PI,72835000,Estável,0.7
22,RO,66795000,Aumento,0.7
23,TO,58209000,Estável,0.6
24,SE,57372000,Estável,0.6
25,AC,23676000,Estável,0.2
26,AP,23614000,Estável,0.2
27,RR,21095000,Estável,0.2
